ITEMNAME,DEPNAME,MAINUPC,SIZENAME,PACKNAME,CURRENTCOST,PRICEPERUNIT,TOTALQTY
KETEL ONE CUCUMBER MINT,Vodka,85156875009,750 ML,,19.98,24.99,3
TRAVELERS VODKA,Vodka,85232118006,1.75 LT,,8,10.99,22
NEW AMSTERDAM GRAPEFRUIT,Vodka,8563802,50 ML,,0.7,1.17,122
NEW AMSTERDAM PASSION,Vodka,8568001,50 ML,,0.7,1.17,83
BENJAMIN BANANA,Vodka,8568807,50 ML,,0.39,0.94,103
BENJAMIN PINEAPPLE,Vodka,8568904,50 ML,,0.39,0.94,125
BENJAMIN PEACH,Vodka,8569602,50 ML,,0.39,0.94,40
BENJAMIN APPLE,Vodka,8570006,50 ML,,0.39,0.94,91
BENJAMIN PEANUT BUTTER,Vodka,8575409,50 ML,,0.39,0.94,98
SAO PAULA CACHACA VODKA,Vodka,86072085077,1 LT,Single,11.09,19.99,0
UV CHERRY VODKA 750ML,Vodka,87116014442,750 ML,,9.09,14.99,0
UV ORANGE,Vodka,87116014466,750 ML,Single,4.49,6.99,0
UV BLUE VODKA 750ML,Vodka,87116014480,750 ML,,9.09,14.99,0
UV GRAPE VODKA 750ML,Vodka,87116014770,750 ML,,9.09,14.99,0
UV LEMINADE VODKA 750ML,Vodka,87116014879,750 ML,,9.09,14.99,0
UV COCONUT VODKA 750ML,Vodka,87116015241,750 ML,,9.09,14.99,0
UV SWEET GREEN TEA VODKA 750ML,Vodka,87116015272,750 ML,,8.09,8.99,0
UV PEACH,Vodka,87116015821,750 ML,Single,4.49,6.99,0
UV SRIRACHA,Vodka,87116016385,750 ML,Single,8.09,8.99,0
BELVEDERE VODKA 375ML,Vodka,87116069657,375 ML,,14.79,18.99,0
BELVEDERE VODKA 750ML,Vodka,87116069688,750 ML,,27.09,29.99,0
BELVEDERE VODKA,Vodka,87116069732,1.75 LT,,44.09,49.99,0
BELVEDERE VODKA 200ML,Vodka,87116069794,200 ML,,8.49,11.99,0
BELVEDERE CYTRUS 750ML--NO MOR,Vodka,87116069954,750 ML,,27.09,29.99,0
BELVEDERE POMARANCZA 750ML --,Vodka,87116069961,750 ML,,27.09,29.99,0
IMPERIA VODKA 1.75 LITER,Vodka,87236700034,1.75 LT,,55.09,55.99,0
VODA VODKA,Vodka,87752018637,1.75 LT,,10.98,13.99,21
VODA VODKA,Vodka,87752018644,1 LT,,7.15,9.99,11
VODA VODKA,Vodka,87752018651,750 ML,,6.15,7.99,17
VODA VODKA,Vodka,87752018668,375 ML,,3.02,4.21,38
VODA VODKA,Vodka,87752018675,200 ML,,1.72,2.35,48
LVOV VODKA,Vodka,87752020869,1.75 LT,,15.75,18.99,0
LVOV VODKA,Vodka,87752020876,1 LT,,9.71,12.99,0
LVOV VODKA,Vodka,87752020883,750 ML,,7.49,9.99,0
SVEDKA BLUE RASPBERRY,Vodka,88004071158,750 ML,,8.79,11.99,12
SVEDKA BLUE RASPBERRY,Vodka,88004071202,1.75 LT,,15.99,19.99,6
SVEDKA VODKA,Vodka,88004071233,375 ML,,3.56,5.99,23
SVEDKA VODKA 100 P,Vodka,88004071370,1.75 LT,,15.99,19.99,6
SVEDKA PEACH,Vodka,88004071752,375 ML,,3.56,5.99,3
SVEDKA BLACKBERRY,Vodka,88004071776,375 ML,,3.56,5.99,20
SVEDKA VANILLA,Vodka,88004071943,375 ML,,3.56,5.99,5
SVEDKA STRAWBERRY,Vodka,88004072032,375 ML,,3.56,5.99,20
SVEDKA BANANA,Vodka,88004072124,375 ML,,3.56,5.99,5
SVEDKA PEACH,Vodka,88004072186,1.75 LT,,15.99,19.99,6
CIROC VODKA,Vodka,88076162655,375 ML,,14.09,17.99,2
CIROC VODKA,Vodka,88076173774,200 ML,,8.19,10.99,11
CIROC COCONUT,Vodka,88076174948,375 ML,,14.09,17.99,8
CIROC RED BERRY,Vodka,88076175044,375 ML,,14.09,17.99,3
CIROC PEACH,Vodka,88076177390,375 ML,,14.09,17.99,9
CIROC PEACH,Vodka,88076177406,750 ML,,29.09,34.99,8
CIROC PEACH,Vodka,88076177420,1.75 LT,,60.08,64.99,1
CIROC COCONUT,Vodka,88076177796,200 ML,,8.19,10.99,0
CIROC RED BERRY,Vodka,88076177802,200 ML,,8.19,10.99,0
CIROC PEACH,Vodka,88076178403,200 ML,,8.19,10.99,0
CIROC PINEAPPLE,Vodka,88076179066,200 ML,,8.19,10.99,0
CIROC PINEAPPLE,Vodka,88076179073,375 ML,,14.09,17.99,12
CIROC PINEAPPLE,Vodka,88076179080,750 ML,,29.09,34.99,5
CIROC PINEAPPLE,Vodka,88076179103,1.75 LT,,60.08,64.99,1
CIROC APPLE,Vodka,88076180437,200 ML,,8.19,10.99,-3
CIROC APPLE,Vodka,88076180444,375 ML,,14.09,17.99,14
CIROC APPLE,Vodka,88076180475,1.75 LT,,60.08,64.99,2
CIROC SUMMER WATERMELON,Vodka,88076185463,375 ML,,14.09,17.99,6
CIROC SUMMER CITRUS,Vodka,88076187023,375 ML,,14.09,17.99,10
CIROC PASSION,Vodka,88076187399,750 ML,,29.09,34.99,4
CIROC PASSION FRUIT,Vodka,88076188167,375 ML,,14.09,17.99,4
CIROC LIMONATA,Vodka,88076189423,375 ML,,14.09,17.99,7
CIROC STRAWBERRY LIMONADE,Vodka,88076190283,750 ML,,29.09,34.99,9
WAVE LEMON LIME,Vodka,89000150069,1 LT,Single,6.39,9.99,0
WAVE PINK LEMONADE,Vodka,89000182763,1.75 LT,Single,7.49,11.99,0
WAVE COCONUT,Vodka,89000194056,750 ML,Single,6.39,6.99,0
WAVE WIPPED CREAM,Vodka,89000220014,750 ML,Single,6.39,6.99,0
WAVE WHIPPED CREAM,Vodka,89000220090,1.75 LT,,7.49,9.99,0
WAVE CHERRY VODKA 50 ML,Vodka,89000500697,50 ML,,0.55,0.93,0
99 GRAPES,Vodka,89000990733,1 LT,Single,4.09,4.99,0
C.C. CITRUS 750ML,Vodka,89540390581,750 ML,,9.09,9.99,0
PINNACLE COCONUT VODKA 375 ML,Vodka,89708451031,375 ML,,5,6.99,0
PINNACLE CAKE 750 ML,Vodka,89708458450,750 ML,,11.29,14.99,0
PINNACLE CAKE VODKA 1 LTR,Vodka,89708458467,1 LT,,13.99,16.99,0
PINNACLE PINEAPPLE 750 ML,Vodka,89708458542,750 ML,,11.29,14.99,0
PINNACLE BLACKBERRY VODKA 750,Vodka,89708458641,750 ML,,11.49,11.99,0
PINNACLE WHIPPED 750 ML,Vodka,89708460705,750 ML,,11.29,14.99,0
PINNACLE WHIPPED VODKA 1 LTR,Vodka,89708460729,1 LT,,13.99,16.99,0
PINNACLE CHERRY LEMINADE 750 M,Vodka,89708461702,750 ML,,11.29,14.99,0
PINNACLE CHERRY LEMONADE 1 LTR,Vodka,89708461719,1 LT,,13.99,16.99,0
PINNACLE VODKA 1 LTR,Vodka,89708465267,1 LT,,13.79,16.99,0
PINNACLE VODKA 750 ML,Vodka,89708465427,750 ML,,11.29,14.99,0
COSMO APPLE MARTINI  750ML,Vodka,89708482608,750 ML,,12.49,13.99,0
DEVOTION INFUSED,Vodka,94922169891,750 ML,Single,17.09,17.99,0
DEVOTION BLACK & BLUE,Vodka,94922169921,750 ML,Single,17.09,17.99,0
KHORYTSA VODKA,Vodka,4820163121710,100 ML,,0.99,1.64,0
NEW AMSTERDAM VODKA,Vodka,5154700000,1.75 LT,,19.29,22.99,3
CIROC FRENCH VINIALLA,Vodka,5301400000,1.75 LT,,57.09,65.99,0
SKY 90,Vodka,5308100000,750 ML,Single,25.09,30.99,0
CIROC MANGO,Vodka,5312100000,1.75 LT,Single,57.09,65.99,0
SVEDKA STRAWBERRY LEMON,Vodka,617768141014,100 ML,,1.39,1.4,0
SVEDKA STRAWBERRY LEMON,Vodka,617768141106,1 LT,,13.09,16.99,7
SVEDKA STRAWBERRY LEMONADE,Vodka,617768141175,1.75 LT,,15.99,19.99,6
SVEDKA STRAWBERRY LEMONADE,Vodka,617768141755,750 ML,,8.79,11.99,12
SVEDKA MANGO PINEAPPLE,Vodka,617768151105,1 LT,,13.09,16.99,3
SVEDKA MANGO PINEAPPLE,Vodka,617768151174,1.75 LT,,15.99,19.99,6
SVEDKA MANGO PINEAPPLE,Vodka,617768151754,750 ML,,8.79,11.99,12
SVEDKA BLUE RASPBERRY,Vodka,617768201015,100 ML,,1.39,1.4,0
SVEDKA CHERRY LIMEADE,Vodka,617768291177,1.75 LT,,15.99,19.99,6
SVEDKA CHERRY LIMEADE,Vodka,617768291757,750 ML,,8.79,11.99,12
TITOS VODKA,Vodka,619947000013,1 LT,,23.09,23.99,0
TITOS VODKA,Vodka,619947000020,750 ML,,19.09,22.99,57
TITOS VODKA,Vodka,619947000037,1.75 LT,,31.09,32.99,102
TITOS VODKA,Vodka,619947000044,200 ML,,5.99,7.98,48
TITOS VODKA,Vodka,619947000051,375 ML,,9.74,12.99,79
TITOS VODKA,Vodka,619947000099,50 ML,,1.33,1.88,675
EXCLUSIV COCONUT,Vodka,699733000502,1.75 LT,,14.99,15.99,1
EXCLUSIV COCONUT,Vodka,699733000564,375 ML,,4.59,6.1,1
EXCLUSIV ROSE,Vodka,699733000700,200 ML,,2.5,2.99,0
EXCLUSIV PEACH,Vodka,699733000922,375 ML,,4.59,6.1,1
EXCLUSIV PEACH,Vodka,699733000946,750 ML,,8.49,10.99,1
EXCLUSIV APPLE,Vodka,699733001622,375 ML,,4.59,6.1,1
RUSALKA LIME MINT,Vodka,701254522255,1 LT,,3.33,9.99,35
SEAGRAMS WATERMELON,Vodka,720815980228,375 ML,,2.99,6.57,0
SEAGRAMS PINEAPPLE,Vodka,720815980327,375 ML,,2.99,6.57,0
SEAGRAMS PINEAPPLE,Vodka,720815980334,750 ML,,9.09,10.99,0
SEAGRAMS PINEAPPLE,Vodka,720815980648,1.75 LT,,16.09,18.99,0
SEAGRAMS MANGO PINEAPPLE,Vodka,720815981102,50 ML,,0.93,0.94,1
SEAGRAMS STRAW LEMON,Vodka,720815981508,50 ML,,0.49,0.94,0
SEAGRAMS VODKA,Vodka,720815985308,50 ML,,0.69,0.94,0
SEAGRAMS VODKA,Vodka,720815985575,200 ML,,1.49,3.75,0
SEAGRAMS VODKA,Vodka,720815985735,750 ML,,9.09,10.99,0
SEAGRAMS SWEET TEA VODKA,Vodka,720815986800,50 ML,,0.49,0.94,0
SEAGRAMS SWEET TEA VODKA 200ML,Vodka,720815986978,200 ML,,3.15,4.5,0
SEAGRAMS SWEET TEA VODKA 375ML,Vodka,720815987029,375 ML,,4.79,7.99,0
SEAGRAMS SWEET TEA,Vodka,720815987135,750 ML,,9.09,9.99,5
SEAGRAMS PEACH TEA,Vodka,720815987609,50 ML,,0.25,0.7,0
SEAGRAMS PEACH,Vodka,720815988446,1.75 LT,,16.09,18.99,1
SEAGRAMS PEACH,Vodka,720815988675,200 ML,,1.49,3.75,0
SEAGRAMS PEACH,Vodka,720815988729,375 ML,,2.99,6.57,0
SKYY 200ML,Vodka,721059002004,200 ML,,5.09,5.99,0
SKYY 375 ML,Vodka,721059003759,375 ML,,8.09,8.99,0
12 OUZO VODKA,Vodka,721059087506,750 ML,Single,10,10.99,0
SKYY 750ML,Vodka,721059387507,750 ML,,15.09,19.99,0
SKYY PINEAPPLE 750 ML,Vodka,721059697507,750 ML,,14.09,15.99,0
SKYY COCONUT VODKA 750 ML,Vodka,721059877503,750 ML,,10.61,19.99,0
DOUBLE CROSS VODKA 750 ML,Vodka,736040510109,750 ML,,36.09,39.99,0
Z VODKA,Vodka,792105782119,1.75 LT,,7.83,10.99,27
SLRP FLAVOURED VODKA,Vodka,796752228600,50 ML,,0.82,1.17,0
V2 VODKA,Vodka,798636020003,750 ML,Single,7.99,10.99,0
MAGIC MOMENTS VODKA,Vodka,811272020005,1 LT,Single,10.99,13.99,0
THREE OLIVES VODKA,Vodka,811538011815,50 ML,,0.66,0.94,626
THREE OLIVES VODKA,Vodka,811538015219,1.75 LT,,22.99,25.99,0
STOLI RASBERRY,Vodka,811751020458,1.75 LT,Single,11,13.99,0
STOLI  VANIL,Vodka,811751020489,1 LT,Single,24.09,25.99,0
STOLICHNAYA VANILLA VODKA 50ML,Vodka,811751020984,50 ML,,0.69,1.17,0
SWENTY GRAND 750ML,Vodka,812459011809,750 ML,,23.09,23.49,0
SMIRNOFF 100 PROOF 750ML,Vodka,820100,750 ML,,14.09,17.99,0
SMIRNOFF 100 PROOF 200ML,Vodka,820120,200 ML,,4.69,5.25,0
SMIRNOFF VODKA GREEN APPLE,Vodka,821000,50 ML,,0.7,1.17,90
SMIRNOFF VODKA WATERMELON,Vodka,821160,50 ML,,0.7,1.17,120
SMIRNOFF VODKA PINEAPPLE,Vodka,822440,50 ML,,0.7,1.17,0
CIROC COCONUT,Vodka,822560,50 ML,,1.29,2.11,22
CIROC RED BERRY,Vodka,822580,50 ML,,1.29,2.11,19
CIROC PEACH,Vodka,823080,50 ML,,1.29,2.11,14
CIROC PINEAPPLE,Vodka,823710,50 ML,,1.29,2.11,41
SMIRNOFF VODKA RASPBERRY,Vodka,824000,50 ML,,0.7,1.17,0
SMIRNOFF VODKA,Vodka,824720,50 ML,,0.7,1.17,189
CIROC APPLE,Vodka,825240,50 ML,,1.29,2.11,39
CIROC MANGO,Vodka,825360,50 ML,,1.29,2.11,-1
SMIRNOFF VODKA,Vodka,825610,375 ML,,4.99,7.51,37
SMIRNOFF 100 PROOF 375ML,Vodka,825620,375 ML,,6.89,9.99,0
ABSOLUT VODKA,Vodka,835229000001,50 ML,,0.89,1.64,0
ABSOLUT VODKA,Vodka,835229000100,200 ML,,6.49,8.68,41
ABSOLUT VODKA,Vodka,835229000209,375 ML,,11.67,15.48,21
ABSOLUT VODKA,Vodka,835229000308,750 ML,,17.09,24.99,4
ABSOLUT VODKA,Vodka,835229000407,1 LT,,23.59,29.99,0
ABSOLUT VODKA,Vodka,835229000605,1.75 LT,,29.09,32.99,2
ABSOULTR ELYX,Vodka,835229000711,750 ML,Single,25.09,29.99,0
ABSOULT VODKA APPLE,Vodka,835229000803,750 ML,,19.09,19.99,0
ABSOULT VODKA APEACH,Vodka,835229001138,750 ML,,19.09,19.99,0
ABSOLUT VODKA APEACH,Vodka,835229001145,1 LT,,23.59,29.99,0
ABSOLUT RUBY RED,Vodka,835229001244,1 LT,,23.59,29.99,0
ABSOULT VODKA PEARS,Vodka,835229001336,750 ML,,19.09,19.99,0
ABSOLUT VODKA PEAR,Vodka,835229001343,1 LT,,23.59,29.99,0
ABSOULT VODKA MANGO,Vodka,835229001428,750 ML,,19.09,19.99,0
ABSOLUT VODKA MANGO,Vodka,835229001435,1 LT,,23.59,29.99,0
ABSOLUT MANDRIN,Vodka,835229002005,50 ML,,0.69,0.94,0
ABSOULT VODKA PEPPAR,Vodka,835229004306,750 ML,,19.09,19.99,3
ABSOLUT VODKA PEPPAR,Vodka,835229004405,1 LT,,23.59,23.99,0
ABSOLUT BLACK 100P,Vodka,835229005426,750 ML,,21.09,22.99,0
ABSOLUT BLACK 100P,Vodka,835229005433,375 ML,,11.09,14.99,0
ABSOULT VODKA VANILLA,Vodka,835229006300,750 ML,,19.09,19.99,0
LEVEL VODKA,Vodka,835229007307,750 ML,,8.99,11.99,0
ABSOULT VODKA RASPBERRI,Vodka,835229008304,750 ML,,19.09,19.99,0
ABSOULT VODKA RASPBERRY,Vodka,835229008403,1 LT,,23.59,29.99,0
ABSOLUT LIME,Vodka,835229010253,50 ML,,0.69,1.17,0
ABSOLUT GRAPEFRUIT,Vodka,835229010406,50 ML,,0.69,0.94,9
ABSOLUT GRAPEFRUIT,Vodka,835229010420,375 ML,,11.69,12.99,4
ABSOLUT APPLE,Vodka,835229010765,50 ML,,0.69,1.17,0
ABSOLUT STRAWBERRY,Vodka,835229010772,50 ML,,0.69,1.17,0
ABSOLUT WILD BERRY,Vodka,835229011045,50 ML,,0.69,0.94,2
GARYS GOOD VODKA,Vodka,850947003257,1.75 LT,,11.67,13.99,0
GARYS GOOD VODKA,Vodka,850947003271,375 ML,,4,5.4,7
GOODNOFF VODKA,Vodka,853936007656,1 LT,,5,7.99,19
GOODNOFF VODKA,Vodka,853936007663,750 ML,,4.42,6.99,0
NEW AMSTERDAM BERRY,Vodka,855750,50 ML,,0.7,1.17,111
NEW AMSTERDAM PEACH,Vodka,855780,50 ML,,0.7,1.17,107
WESTERN SON LIME,Vodka,855939007176,750 ML,,10,10.99,0
NEW AMSTERDAM COCONUT,Vodka,855960,50 ML,,0.7,1.17,90
NEW AMSTERDAM PINEAPPLE,Vodka,856210,50 ML,,0.7,1.17,80
NEW AMSTERDAM MANGO,Vodka,856340,50 ML,,0.7,1.17,110
NEW AMSTERDAM VODKA 100P,Vodka,856460,50 ML,,0.71,1.17,98
NEW AMSTERDAM APPLE,Vodka,856560,50 ML,,0.7,1.17,51
NEW AMSTERDAM RASPBERRY,Vodka,856620,50 ML,,0.7,1.17,128
NEW AMSTERDAM WATERMELON,Vodka,856740,50 ML,,0.7,1.17,68
NEW AMSTERDAM PINK WHITNEY,Vodka,856750,50 ML,,0.7,1.17,36
VALENTINE VODKA,Vodka,857318002024,750 ML,,4,9.99,0
VALENTINE VODKA GIFT SET,Vodka,857318002178,750 ML,,7,9.99,0
NEW AMSTERDAM VODKA,Vodka,858800,50 ML,,0.7,1.17,43
TOMMY GUNS VODKA,Vodka,874756000115,750 ML,,41,52.99,3
CIROC HONEY MELON,Vodka,88076188198,750 ML,,15.99,22.99,2
PRIDE & CLARK,Vodka,892420001114,1 LT,,6.67,10.99,8
PRIDE & CLARKE,Vodka,892420001206,1.75 LT,,11.58,14.99,5
PRIDE & CLARKE,Vodka,892420001213,750 ML,,5.38,7.99,10
PRIDE & CLARK,Vodka,892420001220,375 ML,,2.88,4.21,6
PRIDE & CLARKE,Vodka,892420001510,200 ML,,1.58,2.34,0
GOODNOFF VODKA,Vodka,893828001485,1.75 LT,,8.42,10.99,11
KIRKLAND WATER,Water,96619756803,16 OZ,,0.08,0.75,0
PURE AQUA SPRING WATER,Water,4099100319675,,,0.86,2.5,0
JP WISERS RYE 50ML,Whisky,48415520201,50 ML,,0.9,0.93,0
JP WISERS WHISKEY 50ML,Whisky,48415520249,50 ML,,0.5,0.93,0
NEAREST GREEN TENNESSEE,Whisky,51497461539,750 ML,,23.49,29.99,3
HOONAD HOUSE WHISHKEY SOUR 1 L,Whisky,70860013700,1 LT,,2.39,4.75,0
BLANTONS ORIGINAL SINGLE,Whisky,80244002039,750 ML,,63.01,149.99,1
BUFFALO TRACE,Whisky,80244009236,750 ML,,24.19,39.99,19
ROYAL SALUTE 21 YEAR,Whisky,80432001103,750 ML,,201.08,209.99,0
JAMESON IRISH WHISKEY,Whisky,80432002131,750 ML,,29.09,34.99,4
THE GLENLIVET 15 YEARS,Whisky,80432100783,750 ML,,80.08,93.99,1
WILD TURKEY AMERICAN HONEY  50,Whisky,80432103371,50 ML,,0.69,0.93,0
CHIVAS REGAL 18 YEAR OLD 1LTR,Whisky,80432103807,1 LT,,82.09,84.99,0
JAMESON IRISH WHISKY,Whisky,80432113141,50 ML,,1.49,1.88,52
CHIVAS REGAL 12 YEAR,Whisky,80432400340,50 ML,,1.49,1.85,0
CHIVAS REGAL   200ML,Whisky,80432400364,200 ML,,10.19,11.99,0
CHIVAS REGAL 12 YEAR,Whisky,80432400395,750 ML,,28.09,35.99,2
CHIVAS REGAL  1.75 LITER,Whisky,80432400463,1.75 LT,,53,66.99,0
THE GLENLIVET 12 YEARS,Whisky,80432400630,750 ML,,59.48,65.99,0
JAMESON IRISH WHISKEY,Whisky,80432500125,200 ML,,10.48,12.99,0
JAMESON IRISH WHISKEY,Whisky,80432500149,375 ML,,15.09,19.99,4
ABERLOUR SINGLE MALT AGED 10YR,Whisky,80432524176,750 ML,,51.09,51.09,0
WILD TURKEY  375 ML,Whisky,80432555149,375 ML,,8.99,13.5,0
DEWARS 18 YEARS,Whisky,80480000127,750 ML,,59.09,69.99,2
DEWARS 15 YEARS,Whisky,80480005221,750 ML,,39.09,49.99,2
DEWARS WHITE  LABEL,Whisky,80480230005,1.75 LT,,33.09,39.99,2
DEWARS WHITE  LABEL,Whisky,80480230036,375 ML,,6.99,9.39,4
DEWARS WHITE LABEL  200 ML,Whisky,80480230050,200 ML,,7.29,8.99,0
DEWARS WHITE LABEL,Whisky,80480230074,50 ML,,0.89,1.17,240
DEWARS 12 YEARS,Whisky,80480231026,750 ML,,26.09,33.99,2
DEWAR'S WHISKY 12 YR 375ML,Whisky,80480231033,375 ML,,18.59,19.99,0
JIM BEAM BOURBON,Whisky,80686001409,750 ML,,22.58,26.99,3
JIM BEAM BOURBON,Whisky,80686001607,375 ML,,12.33,15.99,0
JIM BEAM BOURBON,Whisky,80686001904,50 ML,,0.89,1.17,166
JIM BEAM HONEY,Whisky,80686006060,750 ML,,22.58,26.99,2
JIM BEAM HONEY,Whisky,80686006084,375 ML,,0.54,15.99,3
JIM BEAM HONEY,Whisky,80686006091,50 ML,,0.89,1.17,2
JIM BEAM APPLE,Whisky,80686006589,50 ML,,0.89,1.17,91
JIM BEAM PEACH,Whisky,8068602117,50 ML,,0.89,1.17,54
OLD GRAND-DAD WHISKEY 86 PROOF,Whisky,80686407409,750 ML,,9.09,18.99,0
OLD GRAND  DAD 100 PROOF   750,Whisky,80686408406,750 ML,,19.09,20.99,0
OLD GRAND DAD 100P  375ML,Whisky,80686408604,375 ML,,9.09,9.99,0
OLD GRAND DAD 100 PROOF  200 M,Whisky,80686408703,200 ML,,3.3,7.49,0
OLD GRAND DAD 100 P   100ML,Whisky,80686408802,100 ML,,2.09,3.5,0
OLD GRAND-DAD WHISKEY 375ML,Whisky,80686418047,375 ML,,8.29,8.34,0
WOODFORD RESERVE BOURBON,Whisky,81128001506,750 ML,,25,34.99,0
SLANE IRISH WHISKEY,Whisky,81128002145,750 ML,Single,23.99,24.99,4
CANADIAN MIST 750ML,Whisky,81128023164,750 ML,,10.49,12.99,0
CANADIAN MIST 375ML,Whisky,81128023256,375 ML,,6.29,7.99,1
CANADIAN MIST 200ML,Whisky,81128023300,200 ML,,3.49,4.99,0
COLLINGWOOD,Whisky,81128034061,750 ML,Single,29.09,29.99,0
BUCHANAN DELUXE,Whisky,82000005490,50 ML,,1.09,1.88,84
CROWN ROYAL APPLE,Whisky,82000771555,375 ML,,12.19,15.99,22
CROWN ROYAL APPLE,Whisky,82000771562,750 ML,,31.08,34.99,1
CROWN ROYAL VANILLA,Whisky,82000776581,375 ML,,10.09,15.99,0
CROWN ROYAL PEACH,Whisky,82000782919,750 ML,,28.09,34.99,7
CROWN ROYAL BLACKBERRY,Whisky,82000789550,750 ML,,28.09,34.99,5
CROWN ROYAL PEACH,Whisky,82000795360,1.75 LT,,50.09,54.99,1
CROWN ROYAL PEACH,Whisky,82000795391,375 ML,,12.19,15.99,13
BULLEIT BOURBON,Whisky,82000801085,750 ML,,29.99,36.99,2
CROWN ROYAL HONEY,Whisky,8200774808,750 ML,,26.09,32.99,0
JACK DANIELS BLACK,Whisky,82184000052,50 ML,,1.33,2.11,42
JACK DANIELS HONEY,Whisky,82184000328,1 LT,,32.5,40.99,4
JACK DANIELS HONEY,Whisky,82184000335,750 ML,,27.09,34.99,5
JACK DANIELS HONEY,Whisky,82184000342,375 ML,,9.09,16.99,25
JACK DANIELS HONEY,Whisky,82184000359,50 ML,,1.33,2.11,59
JACK DANIELS HONEY,Whisky,82184000618,1.75 LT,,48.09,54.99,5
JACK DANIELS HONEY,Whisky,82184000625,200 ML,,7.89,10.32,30
JACK DANIELS BLACKBERRY,Whisky,82184008768,50 ML,,0.99,1.41,107
GENTLEMAN JACK,Whisky,82184035016,200 ML,,8.49,10.99,14
GENTLEMAN JACK,Whisky,82184038710,375 ML,,16.08,20.99,0
GENTLEMAN JACK,Whisky,82184038727,750 ML,,29.09,34.99,5
JACK DANIELS BLACK,Whisky,82184081839,100 ML,,4.29,5.75,19
JACK DANIELS BLACK,Whisky,82184090428,1.75 LT,,48.09,54.99,0
JACK DANIELS BLACK,Whisky,82184090442,1 LT,,35.98,40.99,3
JACK DANIELS BLACK,Whisky,82184090503,375 ML,,12.49,16.99,13
JACK DANIELS BLACK,Whisky,82184090527,200 ML,,7.89,10.32,3
JACK DANIELS BLACK,Whisky,82184202036,750 ML,,27.09,34.99,3
JOHNNIE WALKER GOLD LABEL,Whisky,8260804,200 ML,,11.25,18.99,7
CROWN ROYAL PEACH,Whisky,8271305,50 ML,,1.49,1.97,132
INVER HOUSE 1 LITER,Whisky,82928236037,1 LT,,11.19,11.49,0
INVER HOUSE 750ML,Whisky,82928236341,750 ML,,9.59,10.99,0
INVER HOUSE 375ML,Whisky,82928236365,375 ML,,5.19,5.49,0
INVER HOUSE 200ML,Whisky,82928236372,200 ML,,2.79,2.83,0
FLEISCHMANN'S WHISKEY 200ML,Whisky,82928399770,200 ML,,2.39,2.99,0
BLACK BUSH IRISH WHISKEY 750 M,Whisky,83300083287,750 ML,,32.09,32.99,0
GRANTS SCOTCH,Whisky,83664101047,750 ML,,13.09,17.99,0
GLENFIDDICH 12 YEARS,Whisky,83664107360,750 ML,,55.09,64.99,3
CLAN MACGREGOR 750ML,Whisky,83664120772,750 ML,,9.39,12.99,0
CLAN MACGREGOR 375ML,Whisky,83664120949,375 ML,,6.09,7.99,0
CLAN MACGREGOR 200ML,Whisky,83664121076,200 ML,,3.49,4.49,0
GLENFIDDICH 14 YEARS,Whisky,83664873463,750 ML,,59.09,69.99,0
GLENFIDDICH 15 YEARS,Whisky,83664990405,750 ML,,82.09,92.99,0
BALLANTINES WHISKY  750ML,Whisky,85209135654,750 ML,,10.09,13.99,0
MAKERS MARK BOURBON,Whisky,85246139462,200 ML,,9.49,11.99,24
MAKERS MARK BOURBON,Whisky,85246185001,375 ML,,16.09,18.99,48
MAKERS MARK BOURBON,Whisky,85246501474,750 ML,,31.08,35.99,2
OLD GRAND DAD 86 PROOF 1 LITER,Whisky,86259247007,1 LT,,18.09,23.99,0
BULLEIT BOURBON,Whisky,87000004122,375 ML,,15.09,19.99,11
CROWN ROYAL,Whisky,87000007253,750 ML,,30.18,34.99,3
CROWN ROYAL,Whisky,87000007604,375 ML,,12.19,15.99,14
MACALLAN 10 YEARS  750 ML,Whisky,87236100452,750 ML,,30.49,40.65,0
MACALLAN  15 YEARS OLD,Whisky,87236100476,,,60,72.99,0
KING WILLIAM IV  SCOTCH WHISKE,Whisky,87512115149,1 LT,,7.5,9.35,0
KING WILLIAM IV SCOTCH WHISKY,Whisky,87512115156,750 ML,,5,7.5,0
THE DALMORE 12 YEARS,Whisky,87647111672,750 ML,,64.01,74.99,1
BOONDOCKS,Whisky,87752019566,750 ML,Single,30.09,39.99,0
FIREBALL CINNAMON WHISKY,Whisky,88004009281,1.75 LT,,27.7,33.99,6
FIREBALL CINNAMON WHISKY,Whisky,88004009373,100 ML,,1.33,2.11,15
BLACK & WHITE 1.75 LTR,Whisky,88004032722,1.75 LT,,29.09,29.99,0
BLACK & WHITE 750 ML,Whisky,88004032746,750 ML,,16.09,20.99,0
SHEEP DOG PEANUT BUTTER,Whisky,88004038694,50 ML,,0.66,0.94,2
FIREBALL BLAZIN APPLE,Whisky,88004069155,50 ML,,0.7,1.17,80
FIREBALL CINNAMON WHISKY,Whisky,88004144692,750 ML,,15.09,19.99,9
FIREBALL CINNAMON WHISKY,Whisky,88004144722,375 ML,,5.71,9.99,22
FIREBALL CINNAMON WHISKY 200ML,Whisky,88004144739,200 ML,,4.09,5.59,0
MACNAUGHTON CANADIAN WHISKEY 7,Whisky,88076001930,750 ML,,3,7.5,0
MACNAUGHTON CANADIAN,Whisky,88076001954,200 ML,,3.49,3.99,0
